"temp","history","you","other","person","groupnumber","round","stage","treatment","source","id","coop","ocoop","pay","delta","suggestion","first_stage","first_round","rd","sgpe","game_type","dec_round"
1,"History",1,1,10,1,24,2,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,5
1,"History",1,1,10,1,24,3,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,5
1,"History",1,1,10,1,24,4,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,5
1,"History",1,1,10,1,24,5,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,5
1,"History",1,2,10,1,24,6,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,5
1,"History",2,2,10,1,24,7,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,5
1,"History",2,2,10,1,24,8,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,5
1,"History",1,2,10,7,25,1,"3","230321_1349",2,1,0,"normal","high","GT",1,0,0,1,1,5
1,"History",2,1,10,7,25,2,"3","230321_1349",2,0,1,"normal","high","GT",0,0,0,1,1,5
1,"History",1,1,10,5,26,1,"3","230321_1349",2,1,1,"normal","high","GT",1,0,0,1,1,6
1,"History",1,1,10,5,26,2,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,6
1,"History",1,2,10,10,27,1,"3","230321_1349",2,1,0,"normal","high","GT",1,0,0,1,1,6
1,"History",1,2,10,5,28,1,"3","230321_1349",2,1,0,"normal","high","GT",1,0,0,1,1,6
1,"History",2,1,10,5,28,2,"3","230321_1349",2,0,1,"normal","high","GT",0,0,0,1,1,6
1,"History",1,1,10,5,28,3,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,6
1,"History",1,1,10,7,29,1,"3","230321_1349",2,1,1,"normal","high","GT",1,0,0,1,1,6
1,"History",1,1,10,5,30,1,"3","230321_1349",2,1,1,"normal","high","GT",1,0,0,1,1,6
1,"History",1,1,10,5,30,2,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,6
1,"History",1,1,10,5,30,3,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,6
1,"History",1,1,11,10,1,1,"3","230321_1349",3,1,1,"normal","high","GT",1,1,0,1,1,1
